order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,item_id,product_id,quantity,list_price,discount,sales,sales_category,total_sales
1541,10,2,2018-04-16,2018-04-16,,2,7,1,155,2,11999.99,0.1,23999.98,High,37801.84
1364,122,4,2018-01-25,2018-01-28,2018-01-28,2,6,2,155,2,11999.99,0.1,23999.98,High,27618.95
1506,75,1,2018-04-08,2018-04-08,,2,7,3,149,2,7499.99,0.05,14999.98,High,37500.89
787,700,4,2017-03-18,2017-03-20,2017-03-19,3,9,1,51,2,6499.99,0.07,12999.98,High,13501.96
1117,334,4,2017-09-08,2017-09-10,2017-09-10,2,6,3,51,2,6499.99,0.1,12999.98,High,14109.949999999999
987,172,4,2017-07-02,2017-07-04,2017-07-04,1,2,1,51,2,6499.99,0.1,12999.98,High,17911.93
930,1224,4,2017-06-05,2017-06-06,2017-06-06,3,9,5,51,2,6499.99,0.1,12999.98,High,26913.92
1338,905,4,2018-01-10,2018-01-11,2018-01-13,2,6,1,169,2,6499.99,0.07,12999.98,High,12999.98
904,1020,4,2017-05-23,2017-05-26,2017-05-24,1,2,2,51,2,6499.99,0.07,12999.98,High,15355.93
937,73,4,2017-06-11,2017-06-14,2017-06-13,2,7,2,51,2,6499.99,0.07,12999.98,High,34390.88
1297,108,4,2017-12-14,2017-12-17,2017-12-16,2,6,3,51,2,6499.99,0.05,12999.98,High,19263.95
1593,9,1,2018-04-27,2018-04-27,,2,6,5,169,2,6499.99,0.07,12999.98,High,26679.78
1463,692,4,2018-03-23,2018-03-24,2018-03-24,2,7,1,51,2,6499.99,0.05,12999.98,High,14548.98
672,908,4,2017-01-26,2017-01-29,2017-01-29,2,6,1,51,2,6499.99,0.07,12999.98,High,16699.94
1003,503,4,2017-07-14,2017-07-16,2017-07-16,2,7,2,51,2,6499.99,0.05,12999.98,High,13939.96
1570,54,2,2018-04-22,2018-04-22,,2,7,1,155,1,11999.99,0.07,11999.99,High,18567.94
945,167,4,2017-06-14,2017-06-15,2017-06-16,2,7,5,50,2,5999.99,0.05,11999.98,High,15053.91
887,1195,4,2017-05-13,2017-05-15,2017-05-15,2,6,1,50,2,5999.99,0.05,11999.98,High,12659.97
1271,734,4,2017-11-27,2017-11-30,2017-11-30,2,6,2,50,2,5999.99,0.07,11999.98,High,14319.92
892,651,4,2017-05-15,2017-05-18,2017-05-17,2,7,3,50,2,5999.99,0.07,11999.98,High,19022.94
1529,50,1,2018-04-12,2018-04-12,,3,8,2,50,2,5999.99,0.1,11999.98,High,17848.91
1468,3,4,2018-03-27,2018-03-30,2018-03-29,1,2,3,50,2,5999.99,0.07,11999.98,High,26249.809999999998
1282,320,4,2017-12-03,2017-12-05,2017-12-05,2,6,2,50,2,5999.99,0.2,11999.98,High,12470.97
1095,1382,4,2017-08-26,2017-08-28,2017-08-27,3,9,5,50,2,5999.99,0.05,11999.98,High,17988.91
804,95,4,2017-03-29,2017-03-31,2017-03-30,2,6,3,50,2,5999.99,0.05,11999.98,High,13169.949999999999
1115,1100,4,2017-09-07,2017-09-09,2017-09-09,2,6,2,50,2,5999.99,0.07,11999.98,High,20399.92
1006,1070,4,2017-07-15,2017-07-18,2017-07-17,2,7,3,56,2,5499.99,0.07,10999.98,High,13806.939999999999
1277,227,4,2017-12-01,2017-12-04,2017-12-02,2,6,1,56,2,5499.99,0.2,10999.98,High,22000.92
934,93,4,2017-06-09,2017-06-10,2017-06-12,2,7,5,56,2,5499.99,0.2,10999.98,High,29214.89
1105,747,4,2017-09-01,2017-09-04,2017-09-03,3,8,2,56,2,5499.99,0.2,10999.98,High,14225.949999999999
1540,187,1,2018-04-16,2018-04-16,,1,2,4,177,2,5499.99,0.05,10999.98,High,14461.92
692,2,3,2017-02-05,2017-02-05,,1,3,4,56,2,5499.99,0.1,10999.98,High,21653.85
